kod_kawasan,kawasan,nama,parti,negeri,vol
P015,Tumpat,Abdul Aziz Omar,Perikatan (UMNO),Kelantan,3
P016,Kelantan Hilir,Nik Abdul Aziz Nik Mat,PAS,Kelantan,3
P017,Pasir Mas Hilir,Muhammad Fakhruddin Abdullah,PAS,Kelantan,3
P018,Kota Bharu Hilir,Tengku Ahmad Rithauddeen Tengku Ismail,Perikatan (UMNO),Kelantan,3
P019,Bachok,Mohd Zain Abdullah,PAS,Kelantan,3
P020,Kota Bharu Hulu,Mohamad Asri Muda,PAS,Kelantan,3
P021,Pasir Mas Hulu,Tengku Zaid Tengku Ahmad,PAS,Kelantan,3
P022,Pasir Puteh,Wan Sulaiman Ibrahim,PAS,Kelantan,3
P023,Tanah Merah,Mohamed Yaacob,Perikatan (UMNO),Kelantan,3
P024,Ulu Kelantan,Nik Ahmad Kamil Nik Mahmud,Perikatan (UMNO),Kelantan,3
P025,Besut,Hussain Sulaiman,Perikatan (UMNO),Terengganu,3
P026,Kuala Trengganu Utara,Wan Abdul Kadir Ismail,Perikatan (UMNO),Terengganu,3
P027,Kuala Trengganu Selatan,Mohd. Daud Abdul Samad,PAS,Terengganu,3
P028,Dungun,Abdul Wahab Yunus,PAS,Terengganu,3
P029,Kemaman,Wan Mokhtar Ahmad,Perikatan (UMNO),Terengganu,3
P030,Trengganu Tengah,Engku Muhsein Abdul Kadir,Perikatan (UMNO),Terengganu,3
P031,Bagan,Tan Cheng Bee,Perikatan (MCA),Pulau Pinang,3
P032,Seberang Tengah,Mustapha Hussain,Gerakan,Pulau Pinang,3
P033,Seberang Selatan,Veerappen Veerathan,Gerakan,Pulau Pinang,3
P034,Penang Utara,Peter Paul Dason,DAP,Pulau Pinang,3
P035,Penang Selatan,Thomas Gabriel Selvaraj,Gerakan,Pulau Pinang,3
P036,Tanjong,Lim Chong Eu,Gerakan,Pulau Pinang,3
P037,Dato' Kramat,V. David,Gerakan,Pulau Pinang,3
P038,Seberang Utara,Ahmad Saaid,Perikatan (UMNO),Pulau Pinang,3
P039,Ulu Perak,Mohamed Nor Mohd Dahan,Perikatan (UMNO),Perak,3
P040,Krian Laut,Sulaiman Taib,Perikatan (UMNO),Perak,3
P041,Krian Darat,Ramli Omar,Perikatan (UMNO),Perak,3
P042,Larut Utara,Tajudin Ali,Perikatan (UMNO),Perak,3
P043,Larut Selatan,Ng Hoe Hun,Gerakan,Perak,3
P044,Bruas,Su Liang Yu,PPP,Perak,3
P045,Sitiawan,Richard Ho Ung Hun,DAP,Perak,3
P046,Sungei Siput,V. T. Sambanthan,Perikatan (MIC),Perak,3
P047,Kuala Kangsar,Mohamed Ghazali Jawi,Perikatan (UMNO),Perak,3
P048,Parit,Hashim Gera,PAS,Perak,3
P049,Ulu Kinta,Chan Yoon Onn,PPP,Perak,3
P050,Ipoh,R. C. Mahadeva Rayan,PPP,Perak,3
P051,Menglembu,S. P. Seenivasagam,PPP,Perak,3
P052,Batu Gajah,Lim Cho Hock,DAP,Perak,3
P053,Kampar,Fan Yew Teng,DAP,Perak,3
P054,Hilir Perak,Ahmad Damanhuri Abdul Wahab,Perikatan (UMNO),Perak,3
P055,Telok Anson,Chan Fu King,DAP,Perak,3
P056,Bagan Datoh,Sulaiman Bulon,Perikatan (UMNO),Perak,3
P057,Batang Padang,Loh Jee Mee,DAP,Perak,3
P058,Tanjong Malim,Lee Seck Fun,Perikatan (MCA),Perak,3
P059,Raub,Hamzah Abu Samah,Perikatan (UMNO),Pahang,3
P060,Bentong,Chan Siang Sun,Perikatan (MCA),Pahang,3
P061,Kuantan,Mohamed Taib,Perikatan (UMNO),Pahang,3
P062,Pekan,Abdul Razak Hussein,Perikatan (UMNO),Pahang,3
P063,Temerloh,Mohamed Yusof Mahmud,Perikatan (UMNO),Pahang,3
P064,Lipis,Ghazali Shafie,Perikatan (UMNO),Pahang,3
P064,Lipis,Abdul Razak Hussin,Perikatan (UMNO),Pahang,3
P065,Kuala Selangor,Raja Nong Chik Raja Ishak,Perikatan (UMNO),Selangor,3
P066,Batu,Tan Chee Khoon,Gerakan,Selangor,3
P067,Kapar,Mohd. Tahir Abdul Manan,Perikatan (UMNO),Selangor,3
P067,Kapar,Hamzah Alang,Perikatan (UMNO),Selangor,3
P068,Rawang,Tunku Abdullah Tuanku Abdul Rahman,Perikatan (UMNO),Selangor,3
P069,Langat,Shariff Ahmad,Perikatan (UMNO),Selangor,3
P070,Setapak,Walter Loh Poh Khan,DAP,Selangor,3
P071,Bungsar,Goh Hock Guan,DAP,Selangor,3
P072,Bukit Bintang,Yeoh Teck Chye,Gerakan,Selangor,3
P073,Damansara,Hor Cheok Foon,DAP,Selangor,3
P074,Klang,V. Manickavasagam,Perikatan (MIC),Selangor,3
P075,Kuala Langat,Mohd. Tahir Abdul Majid,Perikatan (UMNO),Selangor,3
P076,Sepang,Lee Siok Yew,Perikatan (MCA),Selangor,3
P077,Sabak Bernam,Mustapha Abdul Jabar,Perikatan (UMNO),Selangor,3
P078,Ulu Selangor,Michael Chen Wing Sum,Perikatan (MCA),Selangor,3
P078,Ulu Selangor,Khaw Kai Boh,Perikatan (MCA),Selangor,3
P079,Kuala Pilah,Abdul Samad Idris,Perikatan (UMNO),Negeri Sembilan,3
P080,Seremban Timor,Chen Man Hin,DAP,Negeri Sembilan,3
P081,Rembau-Tampin,Mokhtar Hashim,Perikatan (UMNO),Negeri Sembilan,3
P081,Rembau-Tampin,Sulaiman Mohamed Attas,Perikatan (UMNO),Negeri Sembilan,3
P082,Port Dickson,Soorian Arjunan,DAP,Negeri Sembilan,3
P083,Jelebu-Jempol,Mohamed Ujang,Perikatan (UMNO),Negeri Sembilan,3
P084,Seremban Barat,Sinnathamby Seevaratnam,DAP,Negeri Sembilan,3
P085,Malacca Tengah,Tan Siew Sin,Perikatan (MCA),Melaka,3
P086,Bandar Malacca,Lim Kit Siang,DAP,Melaka,3
P087,Malacca Utara,Abdul Ghafar Baba,Perikatan (UMNO),Melaka,3
P088,Malacca Selatan,Ahmad Ithnin,Perikatan (UMNO),Melaka,3
P089,Muar Dalam,Syed Nasir Ismail,Perikatan (UMNO),Johor,3
P090,Segamat Selatan,Lee San Choon,Perikatan (MCA),Johor,3
P091,Muar Pantai,Seah Teng Ngiab,Perikatan (MCA),Johor,3
P092,Muar Selatan,Awang Hassan,Perikatan (UMNO),Johor,3
P093,Batu Pahat,Soh Ah Teck,Perikatan (MCA),Johor,3
P094,Batu Pahat Dalam,Fatimah Abdul Majid,Perikatan (UMNO),Johor,3
P095,Kluang Utara,Tiah Eng Bee,Perikatan (MCA),Johor,3
P096,Johore Tenggara,Syed Jaafar Albar,Perikatan (UMNO),Johor,3
P097,Pontian Utara,Sardon Jubir,Perikatan (UMNO),Johor,3
P098,Pontian Selatan,Ali Ahmad,Perikatan (UMNO),Johor,3
P099,Kluang Selatan,Chu Chee Peng,Perikatan (MCA),Johor,3
P100,Johore Bahru Timor,Hussein Onn,Perikatan (UMNO),Johor,3
P101,Johore Bahru Barat,Mohamed Rahmat,Perikatan (UMNO),Johor,3
P102,Johore Timor,Abdul Rahman Sabri,Perikatan (UMNO),Johor,3
P102,Johore Timor,Ismail Abdul Rahman,Perikatan (UMNO),Johor,3
P103,Segamat Utara,Musa Hitam,Perikatan (UMNO),Johor,3
P104,Muar Utara,Ahmad Arshad,Perikatan (UMNO),Johor,3
P105,Marudu,Mustapha Harun,USNO,Sabah,3
P106,Bandau,Baudi Unggut,USNO,Sabah,3
P107,Kota Belud,Mohamad Said Keruak,USNO,Sabah,3
P108,Tuaran,Buja Gumbilai,USNO,Sabah,3
P109,Kota Kinabalu,Pang Tet Tshung,SCA,Sabah,3
P110,Penampang,James Stephen Tibok,USNO,Sabah,3
P111,Kimanis,Pengiran Tahir Pengiran Petra,USNO,Sabah,3
P112,Labuan-Beaufort,Chik Johari Ondu Majakil,USNO,Sabah,3
P113,Sabah Dalam,Mohamed Arif Salleh,USNO,Sabah,3
P114,Sabah Selatan,Abdul Rashid Jais,USNO,Sabah,3
P115,Kinabalu,Abdul Ghani Gilong,USNO,Sabah,3
P116,Sandakan,Peter Lo Sui Yin,SCA,Sabah,3
P117,Labuk-Sugut,Ajad Oyung,USNO,Sabah,3
P118,Kinabatangan,Pengiran Ahmad Pengiran Indar,USNO,Sabah,3
