vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
3,,,Kinabalu,Dato',Abdul Ghani Gilong,,male,bumiputera,,,,
3,,,Sepang,Tuan,Lee Siok Yew,,male,chinese,,,,
3,,,Raub,Dato',Hamzah Bin Dato' Abu Samah,,male,bumiputera,,,,
3,,,Jitra,Tan Sri,Fatimah Binti Haji Hashim,,female,bumiputera,,,,
3,,,Johor Bahru Timur,Tuan,Hussein Bin Dato' Onn,,male,bumiputera,,,,
3,,,Bandar Kuching,Dato',Ong Kee Hui,,male,chinese,,,,
3,,,Samarahan,Tuan,Abdul Taib Bin Mahmud,,male,bumiputera,,,,
3,,,Pontian Selatan,Tuan,Ali Bin Haji Ahmad,,male,bumiputera,,,,
3,,,Kuala Pilah,Dato',Abdul Samad Bin Idris,,male,bumiputera,,,,
3,,,Segamat Selatan,Tuan,Lee San Chong,,male,chinese,,,,
3,,,Kota Bharu Hilir,Y.M. Tengku,Ahmad Rithaudeen Bin Tengku Ismail,,male,bumiputera,,,,
3,,,Tanah Merah,Tuan,Mohamed Bin Yaacob,,male,bumiputera,,,,
3,,,Langat,Tuan,Shariff Ahmad,,male,bumiputera,,,,
3,,,Kuala Trengganu Utara,Tuan,Wan Abdul Kadir Bin Ismail,,male,bumiputera,,,,
3,,,Jelebu,Tuan,Mohamed Bin Ujang,,male,bumiputera,,,,
3,,,Johor Bahru Barat,Tuan,Mohamed Bin Rahmat,,male,bumiputera,,,,
3,,,Kelantan Hilir,Tuan,Nik Abdul Aziz Bin Nik Mat,,male,bumiputera,,,,
3,,,Tumpat,Dato' Dr. Haji,Abdul Aziz Bin Omar,,male,bumiputera,,,,
3,,,Rawang,Y.A.M. Tunku,Abdullah Ibni Almarhum Tuanku Abdul Rahman,,male,bumiputera,,,,
3,,,Kuala Kedah,Y.T.M. Tunku,Abdul Rahman Putra Al Haj,,male,bumiputera,,,,
3,,,Sabah Selatan,Tuan Haji,Abdul Rashid Bin Haji Jais,,male,bumiputera,,,,
3,,,Lipis,Tuan Haji,Abdul Razak Bin Haji Hussin,,male,bumiputera,,,,
3,,,Dungun,Tuan Haji,Abdul Wahab Bin Yunus,,male,bumiputera,,,,
3,,,Kapit,Penghulu,Abit Anak Angkin,,male,bumiputera,,,,
3,,,Kubang Pasu Barat,Tuan,Abu Bakar Bin Umar,,male,bumiputera,,,,
3,,,Muar Utara,Haji,Ahmad Bin Arshad,,male,bumiputera,,,,
3,,,Kinabatangan,,Pengiran Ahmad Bin Pengiran Indar,,male,bumiputera,,,,
3,,,Melaka Selatan,Tuan,Ahmad Bin Haji Ithnin,,male,bumiputera,,,,
3,,,Seberang Utara,Tuan Haji,Ahmad Bin Said,,male,bumiputera,,,,
3,,,Hilir Perak,Tuan Haji,Ahmad Damanhuri Bin Haji Abdul Wahab,,male,bumiputera,,,,
3,,,Ulu Kelantan,Tan Sri Haji,Nik Ahmed Kamil,,male,bumiputera,,,,
3,,,Kulim Utara,Puan,Bibi Aishah Binti Hamid Don,,female,bumiputera,,,,
3,,,Labuk,Tuan,Ajad Bin O.T. Oyong,,male,bumiputera,,,,
3,,,Muar Selatan,Dr.,Awang Bin Hassan,,male,bumiputera,,,,
3,,,Sungai Petani,Tuan,Azahari Bin Mohd. Taib,,male,bumiputera,,,,
3,,,Julau,Dato' Pengarah,Banyang Anak Janting,,male,bumiputera,,,,
3,,,Bandau,Chegu,Baudi Bin Unggut,,male,bumiputera,,,,
